Date,Open,High,Low,Close,Adj Close,Volume
2019-04-18,148.399994,148.399994,147.509995,148.270004,136.888153,2457000
2019-04-22,147.949997,148.410004,147.770004,148.309998,136.925049,2148600
2019-04-23,148.550003,149.919998,148.449997,149.800003,138.300690,2344200
2019-04-24,149.779999,150.050003,149.470001,149.600006,138.115997,1924600
2019-04-25,149.539993,149.690002,148.600006,149.350006,137.885193,2428600
2019-04-26,149.410004,150.160004,148.990005,150.160004,138.633026,2184500
2019-04-29,150.220001,150.690002,150.130005,150.380005,138.836151,2461500
2019-04-30,150.279999,150.600006,149.300003,150.389999,138.845337,2224500
2019-05-01,150.800003,150.869995,149.240005,149.270004,137.811310,3761300
2019-05-02,149.149994,149.740005,148.059998,149.020004,137.580521,2537800
2019-05-03,149.800003,150.699997,149.699997,150.630005,139.066956,2147100
2019-05-06,148.190002,150.339996,148.020004,150.149994,138.623764,2635300
2019-05-07,148.839996,149.089996,146.429993,147.559998,136.232590,4385800
2019-05-08,147.350006,148.240005,147.009995,147.320007,136.011002,2492100
2019-05-09,146.059998,147.179993,145.059998,146.850006,135.577133,2768000
2019-05-10,146.330002,147.960007,144.649994,147.529999,136.204910,3175300
2019-05-13,144.699997,145.149994,143.250000,143.800003,132.761230,4241900
2019-05-14,144.279999,145.910004,144.139999,145.100006,133.961456,3090200
2019-05-15,144.229996,146.270004,144.050003,145.960007,134.755417,2072300
2019-05-16,146.330002,148.029999,146.289993,147.279999,135.974091,2319500
2019-05-17,146.059998,147.639999,146.009995,146.240005,135.013947,1923900
2019-05-20,145.259995,145.919998,144.779999,145.199997,134.053772,1669200
2019-05-21,146.110001,146.809998,146.039993,146.619995,135.364761,1438800
2019-05-22,146.059998,146.570007,145.770004,146.089996,134.875473,1539800
2019-05-23,144.830002,144.850006,143.380005,144.229996,133.158249,2701100
2019-05-24,144.960007,145.229996,144.160004,144.580002,133.481384,1381900
2019-05-28,144.820007,145.279999,143.250000,143.309998,132.308838,3866100
2019-05-29,142.619995,142.800003,141.440002,142.330002,131.404083,2955100
2019-05-30,142.690002,143.169998,141.949997,142.610001,131.662613,2621700
2019-05-31,141.110001,141.589996,140.600006,140.690002,129.889969,2836300
2019-06-03,140.690002,141.380005,139.619995,140.410004,129.631485,4765100
2019-06-04,141.729996,143.610001,141.470001,143.559998,132.539642,2767600
2019-06-05,144.389999,144.820007,143.270004,144.660004,133.555267,5059700
2019-06-06,144.820007,145.850006,144.350006,145.470001,134.303040,2795600
2019-06-07,146.059998,147.449997,145.979996,146.789993,135.521713,1667900
2019-06-10,147.729996,148.570007,147.539993,147.610001,136.278778,2259800
2019-06-11,148.619995,148.830002,147.080002,147.470001,136.149521,1724500
2019-06-12,147.350006,147.639999,146.929993,147.270004,135.964874,1729900
2019-06-13,147.789993,148.089996,147.429993,147.949997,136.592667,1726600
2019-06-14,147.800003,147.990005,147.270004,147.630005,136.297241,1401000
2019-06-17,147.279999,147.669998,147.139999,147.190002,136.396393,2506100
2019-06-18,148.199997,149.470001,148.070007,148.800003,137.888382,2261100
2019-06-19,148.910004,149.490005,148.389999,149.309998,138.360947,4049900
2019-06-20,150.729996,150.850006,149.449997,150.679993,139.630432,2968100
2019-06-21,150.399994,150.940002,150.039993,150.699997,139.649017,2414300
2019-06-24,150.330002,150.470001,149.710007,149.860001,138.870590,1977300
2019-06-25,149.869995,149.899994,148.300003,148.440002,137.554749,2309500
2019-06-26,148.860001,149.190002,148.130005,148.160004,137.295258,1903700
2019-06-27,148.660004,149.199997,148.559998,149.050003,138.120010,2392200
2019-06-28,149.509995,150.169998,149.309998,150.089996,139.083725,2589600
2019-07-01,151.850006,151.919998,150.509995,151.149994,140.065964,3960800
2019-07-02,151.119995,151.500000,150.660004,151.500000,140.390350,2705400
2019-07-03,151.869995,152.660004,151.750000,152.639999,141.446732,2286800
2019-07-05,152.009995,152.619995,151.259995,152.550003,141.363342,2446300
2019-07-08,151.869995,152.029999,151.369995,151.729996,140.603455,2611300
2019-07-09,151.020004,152.089996,151.020004,152.000000,140.853653,3178000
2019-07-10,152.589996,153.130005,152.119995,152.619995,141.428177,1852500
2019-07-11,152.940002,153.029999,152.240005,152.830002,141.622803,2641000
2019-07-12,153.100006,153.639999,152.990005,153.610001,142.345612,1656000
2019-07-15,153.830002,153.830002,153.270004,153.509995,142.252914,2155000
2019-07-16,153.500000,153.669998,152.949997,153.119995,141.891525,1778500
2019-07-17,153.100006,153.169998,152.110001,152.110001,140.955612,2575500
2019-07-18,151.869995,152.839996,151.589996,152.669998,141.474548,1463500
2019-07-19,153.210007,153.279999,151.740005,151.800003,140.668320,1487900
2019-07-22,152.059998,152.399994,151.759995,152.160004,141.001938,1510000
2019-07-23,152.779999,153.199997,152.300003,153.179993,141.947128,1643800
2019-07-24,152.759995,154.149994,152.759995,154.119995,142.818237,2168900
2019-07-25,153.940002,153.949997,152.889999,153.300003,142.058334,2046000
2019-07-26,153.649994,154.509995,153.610001,154.410004,143.086929,1721600
2019-07-29,154.350006,154.380005,153.630005,154.039993,142.744064,1587600
2019-07-30,153.190002,154.000000,152.960007,153.889999,142.605042,1970300
2019-07-31,153.910004,154.110001,151.070007,152.210007,141.048264,2512000
2019-08-01,152.289993,153.850006,150.259995,150.800003,139.741684,3901500
2019-08-02,150.300003,150.410004,148.580002,149.580002,138.611130,7062200
2019-08-05,147.179993,147.250000,143.869995,145.139999,134.496719,5701800
2019-08-06,146.190002,147.080002,145.210007,147.029999,136.248123,3408400
2019-08-07,145.300003,147.529999,144.179993,147.190002,136.396393,3195500
2019-08-08,147.979996,150.020004,147.699997,149.990005,138.991089,4143200
2019-08-09,149.559998,149.789993,148.020004,148.919998,137.999527,2349700
2019-08-12,148.119995,148.259995,146.550003,147.080002,136.294449,2610200
2019-08-13,146.889999,150.080002,146.529999,149.179993,138.240463,2721400
2019-08-14,146.949997,147.199997,144.779999,144.869995,134.246521,3938800
2019-08-15,145.309998,145.660004,144.050003,145.139999,134.496719,3591900
